payment_id,order_id,gateway,amount,payment_date,status,narration
pay_000200,ORD-0200,razorpay,9226.47,2024-04-01,captured,
pay_000201,ORD-0201,razorpay,404.37,2024-04-03,captured,
pay_000202,ORD-0202,razorpay,8475.1,2024-03-09,captured,
pyu_000203,ORD-0203,payu,3526.89,2024-03-31,captured,
pay_000204,ORD-0204,razorpay,7806.26,2024-04-08,captured,
cf_000205,ORD-0205,cashfree,1935.85,2024-06-19,captured,
cf_000206,ORD-0206,cashfree,6425.29,2024-06-17,captured,
pyu_000207,ORD-0207,payu,3167.34,2024-03-18,captured,
pay_000208,ORD-0208,razorpay,3813.26,2024-03-19,captured,
cf_000209,ORD-0209,cashfree,4734.11,2024-05-30,captured,
pyu_000210,ORD-5210,payu,5343.778943546634,2024-02-21,captured,
pay_000211,ORD-5211,razorpay,9503.49423243736,2024-04-04,captured,
cf_000212,ORD-5212,cashfree,2273.948681729312,2024-03-17,captured,
cf_000213,ORD-5213,cashfree,6424.62079284053,2024-04-13,captured,
pyu_000214,ORD-5214,payu,8128.134344953195,2024-07-03,captured,
pay_000215,ORD-5215,razorpay,1380.685681889495,2024-07-02,captured,
cf_000216,ORD-5216,cashfree,7082.981864824215,2024-06-14,captured,
pay_000217,ORD-5217,razorpay,6926.832695020725,2024-04-11,captured,
pay_000218,ORD-5218,razorpay,7369.692754966384,2024-02-03,captured,
cf_000219,ORD-5219,cashfree,3786.7865599978886,2024-02-16,captured,
pay_000220,ORD-5220,razorpay,7014.531238538714,2024-05-21,captured,
