order_id,order_amount,order_date,customer_id,status,gateway,amount_reported,merchant_ref
ORD-0089,484.41,2024-03-27,CUST-0032,paid,payu,,
ORD-0090,1450.62,2024-06-08,CUST-0059,paid,payu,,
ORD-0091,1022.6,2024-04-19,CUST-0002,paid,cashfree,,
ORD-0092,3407.73,2024-04-26,CUST-0025,paid,payu,,
ORD-0093,7568.94,2024-04-17,CUST-0018,paid,payu,,
ORD-0094,710.39,2024-03-30,CUST-0035,paid,cashfree,,
ORD-0095,2153.54,2024-01-06,CUST-0016,paid,razorpay,,
ORD-0096,5726.34,2024-02-25,CUST-0008,paid,cashfree,,
ORD-0097,6137.14,2024-01-30,CUST-0011,paid,payu,,
ORD-0098,9097.75,2024-04-06,CUST-0044,paid,cashfree,,
ORD-0099,8338.77,2024-03-03,CUST-0045,paid,cashfree,,
ORD-0100,8093.37,2024-05-24,CUST-0039,paid,cashfree,,
ORD-0101,875.71,2024-06-14,CUST-0024,paid,cashfree,,
ORD-0102,4448.1,2024-04-02,CUST-0007,paid,payu,,
ORD-0103,5312.6,2024-06-15,CUST-0047,paid,razorpay,,
ORD-0104,4937.79,2024-04-21,CUST-0050,paid,cashfree,,
ORD-0105,8839.1,2024-03-03,CUST-0018,paid,razorpay,,
ORD-0106,481.23,2024-03-24,CUST-0022,paid,payu,,
ORD-0107,2940.37,2024-06-01,CUST-0022,paid,payu,,
ORD-0108,4182.59,2024-05-22,CUST-0047,paid,razorpay,,
ORD-0109,4591.66,2024-01-05,CUST-0032,paid,cashfree,,
ORD-0110,3200.51,2024-05-28,CUST-0016,paid,cashfree,,
ORD-0111,9965.99,2024-05-20,CUST-0028,paid,payu,,
ORD-0112,2663.5,2024-01-31,CUST-0020,paid,payu,,
ORD-0113,7437.59,2024-03-11,CUST-0014,paid,razorpay,,
ORD-0114,3736.27,2024-03-18,CUST-0015,paid,payu,,
ORD-0115,9747.12,2024-05-21,CUST-0003,paid,payu,,
ORD-0116,7576.61,2024-01-27,CUST-0056,paid,cashfree,,
ORD-0117,3538.58,2024-01-14,CUST-0029,paid,payu,,
ORD-0118,6367.94,2024-01-14,CUST-0037,paid,razorpay,,
ORD-0119,9939.4,2024-01-31,CUST-0006,paid,payu,,
ORD-0120,7801.02,2024-04-07,CUST-0015,paid,cashfree,,
ORD-0121,3192.42,2024-06-07,CUST-0028,paid,cashfree,,
ORD-0122,2236.11,2024-02-24,CUST-0049,paid,razorpay,,
ORD-0123,226.22,2024-04-25,CUST-0011,paid,razorpay,,
ORD-0124,4649.05,2024-06-24,CUST-0056,paid,cashfree,,
ORD-0125,6678.93,2024-02-20,CUST-0038,paid,cashfree,,
ORD-0126,9101.52,2024-02-06,CUST-0010,paid,cashfree,,
ORD-0127,7539.04,2024-05-25,CUST-0039,paid,payu,,
ORD-0128,7056.69,2024-03-10,CUST-0020,paid,cashfree,,
ORD-0129,6115.79,2024-01-07,CUST-0021,paid,cashfree,,
ORD-0130,9516.75,2024-06-21,CUST-0038,paid,cashfree,,
ORD-0131,4533.41,2024-03-12,CUST-0042,paid,cashfree,,
ORD-0132,4805.63,2024-04-14,CUST-0006,paid,payu,,
ORD-0133,4233.71,2024-05-06,CUST-0022,paid,razorpay,,
ORD-0134,4656.84,2024-03-21,CUST-0003,paid,cashfree,,
ORD-0135,8718.93,2024-04-28,CUST-0043,paid,razorpay,,
ORD-0136,7612.39,2024-06-09,CUST-0040,paid,payu,,
ORD-0137,9290.27,2024-04-22,CUST-0009,paid,cashfree,,
ORD-0138,3245.04,2024-01-04,CUST-0011,paid,cashfree,,
ORD-0139,9480.25,2024-06-14,CUST-0030,paid,razorpay,,
ORD-0140,7112.33,2024-04-16,CUST-0033,paid,payu,,
ORD-0141,3958.76,2024-06-02,CUST-0010,paid,cashfree,,
ORD-0142,9354.7,2024-05-09,CUST-0022,paid,payu,,
ORD-0143,5951.4,2024-06-17,CUST-0054,paid,payu,,
ORD-0144,3457.58,2024-05-19,CUST-0023,paid,payu,,
ORD-0145,2540.06,2024-04-08,CUST-0045,paid,razorpay,,
ORD-0146,7964.67,2024-06-15,CUST-0043,paid,payu,,
ORD-0147,9659.5,2024-03-25,CUST-0033,paid,razorpay,,
ORD-0148,4217.38,2024-06-16,CUST-0010,paid,cashfree,,
ORD-0149,6307.32,2024-04-11,CUST-0022,paid,payu,,
ORD-0150,9549.61,2024-06-09,CUST-0025,paid,cashfree,,
ORD-0151,1085.63,2024-01-26,CUST-0048,paid,razorpay,,
ORD-0152,483.65,2024-03-24,CUST-0058,paid,payu,,
ORD-0153,2592.89,2024-04-15,CUST-0010,paid,payu,,
ORD-0154,3948.55,2024-06-23,CUST-0056,paid,cashfree,,
ORD-0155,4718.81,2024-03-06,CUST-0015,paid,razorpay,4722.82,
ORD-0156,1748.0,2024-04-23,CUST-0035,paid,cashfree,1749.9,
ORD-0157,3160.49,2024-04-08,CUST-0055,paid,payu,3161.24,
ORD-0158,414.99,2024-06-17,CUST-0019,paid,cashfree,418.32,
ORD-0159,8028.03,2024-06-04,CUST-0050,paid,payu,8029.81,
ORD-0160,6659.32,2024-02-05,CUST-0050,paid,cashfree,6662.21,
ORD-0161,3775.28,2024-02-03,CUST-0038,paid,razorpay,3772.04,
ORD-0162,5485.66,2024-04-03,CUST-0051,paid,razorpay,5490.33,
ORD-0163,8729.02,2024-01-30,CUST-0048,paid,payu,8732.62,
ORD-0164,9802.45,2024-05-22,CUST-0044,paid,cashfree,9800.09,
ORD-0165,3811.77,2024-06-21,CUST-0030,paid,razorpay,3807.85,
ORD-0166,445.22,2024-05-23,CUST-0031,paid,razorpay,446.57,
ORD-0167,7069.86,2024-06-15,CUST-0059,paid,payu,7067.9,
ORD-0168,1152.38,2024-05-17,CUST-0008,paid,payu,1153.25,
ORD-0169,8876.17,2024-06-16,CUST-0010,paid,cashfree,8871.5,
ORD-0170,4544.71,2024-03-01,CUST-0014,paid,payu,4545.15,
ORD-0171,793.33,2024-03-11,CUST-0023,paid,cashfree,789.25,
ORD-0172,6466.39,2024-01-06,CUST-0042,paid,razorpay,6469.26,
ORD-0173,8331.38,2024-05-21,CUST-0005,paid,razorpay,8329.67,
ORD-0174,9024.3,2024-01-01,CUST-0051,paid,razorpay,9027.29,
ORD-0175,8690.32,2024-02-03,CUST-0043,paid,razorpay,8691.21,
ORD-0176,2800.34,2024-02-02,CUST-0012,paid,razorpay,2800.47,
ORD-0177,5137.12,2024-06-06,CUST-0029,paid,razorpay,,INV0177
ORD-0178,9646.49,2024-01-16,CUST-0042,paid,payu,,INV0178
ORD-0179,9114.16,2024-01-19,CUST-0046,paid,payu,,INV0179
ORD-0180,6317.69,2024-05-29,CUST-0018,paid,razorpay,,INV0180
ORD-0181,6132.58,2024-01-26,CUST-0033,paid,payu,,INV0181
ORD-0182,8902.4,2024-04-15,CUST-0029,paid,payu,,INV0182
ORD-0183,3262.42,2024-03-06,CUST-0028,paid,payu,,INV0183
ORD-0184,8350.53,2024-01-24,CUST-0006,paid,razorpay,,INV0184
ORD-0185,787.75,2024-05-23,CUST-0036,paid,razorpay,,INV0185
ORD-0186,4344.36,2024-01-14,CUST-0049,paid,cashfree,,INV0186
ORD-0187,2284.63,2024-06-17,CUST-0033,paid,cashfree,,INV0187
ORD-0188,1325.76,2024-03-12,CUST-0024,paid,cashfree,,
ORD-0189,6814.1,2024-05-22,CUST-0040,paid,cashfree,,
ORD-0190,483.71,2024-03-10,CUST-0018,paid,cashfree,,
ORD-0191,1603.72,2024-06-17,CUST-0056,paid,razorpay,,
ORD-0192,1099.13,2024-05-15,CUST-0002,paid,cashfree,,
ORD-0193,3826.15,2024-03-24,CUST-0011,paid,payu,,
ORD-0194,6804.22,2024-03-10,CUST-0004,paid,cashfree,,
ORD-0195,4258.59,2024-02-25,CUST-0029,paid,cashfree,,
ORD-0196,6848.49,2024-05-04,CUST-0044,paid,payu,,
ORD-0197,275.33,2024-03-18,CUST-0004,paid,cashfree,,
ORD-0198,1375.73,2024-05-07,CUST-0021,paid,payu,,
ORD-0199,2454.85,2024-05-23,CUST-0046,paid,cashfree,,
ORD-0200,9226.47,2024-03-21,CUST-0030,paid,razorpay,,
ORD-0201,404.37,2024-03-24,CUST-0026,paid,razorpay,,
ORD-0202,8475.1,2024-03-03,CUST-0028,paid,razorpay,,
ORD-0203,3526.89,2024-03-26,CUST-0048,paid,payu,,
ORD-0204,7806.26,2024-03-30,CUST-0058,paid,razorpay,,
ORD-0205,1935.85,2024-06-09,CUST-0005,paid,cashfree,,
ORD-0206,6425.29,2024-06-08,CUST-0042,paid,cashfree,,
ORD-0207,3167.34,2024-03-11,CUST-0041,paid,payu,,
ORD-0208,3813.26,2024-03-14,CUST-0004,paid,razorpay,,
ORD-0209,4734.11,2024-05-21,CUST-0025,paid,cashfree,,
ORD-0210,4860.69,2024-02-08,CUST-0039,paid,payu,,
ORD-0211,9010.54,2024-03-28,CUST-0052,paid,razorpay,,
ORD-0212,1890.9,2024-03-04,CUST-0042,paid,cashfree,,
ORD-0213,6175.48,2024-04-03,CUST-0034,paid,cashfree,,
ORD-0214,7788.98,2024-06-22,CUST-0027,paid,payu,,
ORD-0215,1126.06,2024-06-22,CUST-0022,paid,razorpay,,
ORD-0216,6633.67,2024-06-03,CUST-0055,paid,cashfree,,
ORD-0217,6702.74,2024-03-30,CUST-0038,paid,razorpay,,
ORD-0218,7145.86,2024-01-22,CUST-0039,paid,razorpay,,
ORD-0219,3418.74,2024-02-02,CUST-0051,paid,cashfree,,
ORD-0220,6769.8,2024-05-10,CUST-0042,paid,razorpay,,
