settlement_id,payment_id,order_id,gateway,settlement_date,gross_amount,net_amount,mdr_fee,gst_on_fee,refund_amount,narration
SETL-CAS-0051,cf_000051,ORD-0051,cashfree,2024-06-19,6193.83,6047.65,123.88,22.3,0.0,
SETL-PAY-0052,pyu_000052,ORD-0052,payu,2024-02-06,6700.55,6542.42,134.01,24.12,0.0,
SETL-CAS-0053,cf_000053,ORD-0053,cashfree,2024-03-16,1723.23,1682.57,34.46,6.2,0.0,
SETL-CAS-0054,cf_000054,ORD-0054,cashfree,2024-05-12,8557.69,8355.73,171.15,30.81,0.0,
SETL-RAZ-0055,pay_000055,ORD-0055,razorpay,2024-03-12,6415.35,6263.94,128.31,23.1,0.0,
SETL-RAZ-0056,pay_000056,ORD-0056,razorpay,2024-02-15,9801.04,9569.74,196.02,35.28,0.0,
SETL-CAS-0057,cf_000057,ORD-0057,cashfree,2024-06-28,1296.25,705.29,25.93,4.67,560.36,
SETL-RAZ-0058,pay_000058,ORD-0058,razorpay,2024-03-21,1448.84,1414.64,28.98,5.22,0.0,
SETL-RAZ-0059,pay_000059,ORD-0059,razorpay,2024-01-31,2645.14,2582.72,52.9,9.52,0.0,
SETL-PAY-0060,pyu_000060,ORD-0060,payu,2024-03-02,7544.13,7366.09,150.88,27.16,0.0,
SETL-RAZ-0061,pay_000061,ORD-0061,razorpay,2024-03-30,7417.6,7242.55,148.35,26.7,0.0,
SETL-RAZ-0062,pay_000062,ORD-0062,razorpay,2024-06-30,1759.98,1718.44,35.2,6.34,0.0,
SETL-PAY-0063,pyu_000063,ORD-0063,payu,2024-04-30,2155.61,2104.74,43.11,7.76,0.0,
SETL-RAZ-0064,pay_000064,ORD-0064,razorpay,2024-02-22,431.89,421.69,8.64,1.55,0.0,
SETL-RAZ-0065,pay_000065,ORD-0065,razorpay,2024-06-17,2935.15,2865.88,58.7,10.57,0.0,
SETL-CAS-0066,cf_000066,ORD-0066,cashfree,2024-02-01,9403.58,9181.66,188.07,33.85,0.0,
SETL-PAY-0067,pyu_000067,ORD-0067,payu,2024-04-25,1262.24,1232.46,25.24,4.54,0.0,
SETL-PAY-0068,pyu_000068,ORD-0068,payu,2024-02-03,9844.53,9612.2,196.89,35.44,0.0,
SETL-RAZ-0069,pay_000069,ORD-0069,razorpay,2024-05-15,4472.93,4367.37,89.46,16.1,0.0,
SETL-CAS-0070,cf_000070,ORD-0070,cashfree,2024-03-24,3435.63,3354.55,68.71,12.37,0.0,
SETL-CAS-0071,cf_000071,ORD-0071,cashfree,2024-03-28,6734.88,6575.93,134.7,24.25,0.0,
SETL-RAZ-0072,pay_000072,ORD-0072,razorpay,2024-04-10,4319.95,4218.0,86.4,15.55,0.0,
SETL-PAY-0073,pyu_000073,ORD-0073,payu,2024-03-20,8369.67,8172.15,167.39,30.13,0.0,
SETL-CAS-0074,cf_000074,ORD-0074,cashfree,2024-05-02,6615.46,6459.33,132.31,23.82,0.0,
SETL-CAS-0075,cf_000075,ORD-0075,cashfree,2024-02-15,7977.81,7789.53,159.56,28.72,0.0,
SETL-CAS-0076,cf_000076,ORD-0076,cashfree,2024-03-03,3484.51,3402.28,69.69,12.54,0.0,
SETL-RAZ-0077,pay_000077,ORD-0077,razorpay,2024-05-03,652.85,637.44,13.06,2.35,0.0,
SETL-CAS-0078,cf_000078,ORD-0078,cashfree,2024-06-30,2105.27,2055.58,42.11,7.58,0.0,
SETL-RAZ-0079,pay_000079,ORD-0079,razorpay,2024-01-30,7558.7,7380.32,151.17,27.21,0.0,
SETL-RAZ-0080,pay_000080,ORD-0080,razorpay,2024-04-28,8512.85,8311.94,170.26,30.65,0.0,
SETL-PAY-0081,pyu_000081,ORD-0081,payu,2024-05-13,8186.25,7993.06,163.72,29.47,0.0,
SETL-PAY-0082,pyu_000082,ORD-0082,payu,2024-03-08,2739.82,2675.16,54.8,9.86,0.0,
SETL-RAZ-0083,pay_000083,ORD-0083,razorpay,2024-03-13,2999.85,2929.05,60.0,10.8,0.0,
SETL-RAZ-0084,pay_000084,ORD-0084,razorpay,2024-06-30,7000.01,6834.81,140.0,25.2,0.0,
SETL-PAY-0085,pyu_000085,ORD-0085,payu,2024-04-21,2226.77,2174.21,44.54,8.02,0.0,
SETL-CAS-0086,cf_000086,ORD-0086,cashfree,2024-04-03,4873.92,4758.89,97.48,17.55,0.0,
SETL-CAS-0087,cf_000087,ORD-0087,cashfree,2024-02-28,8037.91,7848.21,160.76,28.94,0.0,
SETL-PAY-0088,pyu_000088,ORD-0088,payu,2024-04-15,6854.91,6693.13,137.1,24.68,0.0,
SETL-CAS-0089,cf_000089,ORD-0089,cashfree,2024-01-24,6696.73,6538.69,133.93,24.11,0.0,INV0089
SETL-RAZ-0090,pay_000090,ORD-0090,razorpay,2024-02-27,3914.84,3822.45,78.3,14.09,0.0,INV0090
SETL-PAY-0091,pyu_000091,ORD-0091,payu,2024-04-19,9520.85,9296.15,190.42,34.28,0.0,INV0091
SETL-PAY-0092,pyu_000092,ORD-0092,payu,2024-06-16,6570.76,6415.68,131.42,23.65,0.0,INV0092
SETL-RAZ-0093,pay_000093,ORD-0093,razorpay,2024-02-06,1693.19,39.66,33.86,6.1,1613.58,INV0093
SETL-PAY-0094,,,payu,2024-02-01,6137.14,5236.76,122.74,22.09,755.55,
SETL-CAS-0095,,,cashfree,2024-04-10,9097.75,8883.04,181.96,32.75,0.0,
SETL-CAS-0096,,,cashfree,2024-03-06,8338.77,8141.97,166.78,30.02,0.0,
SETL-CAS-0097,,,cashfree,2024-05-26,8093.37,7902.36,161.87,29.14,0.0,
SETL-CAS-0098,,,cashfree,2024-06-16,875.71,855.05,17.51,3.15,0.0,
SETL-PAY-0099,,,payu,2024-04-06,4448.1,4428.49,88.96,16.01,0.0,
SETL-CAS-0100,,,cashfree,2024-05-20,6235.33,6165.76,124.71,22.45,0.0,
SETL-PAY-0101,,,payu,2024-01-26,2605.61,2620.46,52.11,9.38,0.0,
SETL-CAS-0102,,,cashfree,2024-05-08,3496.35,3502.71,69.93,12.59,0.0,
SETL-PAY-0103,,,payu,2024-07-02,8826.26,288.86,176.53,31.77,8413.69,
SETL-PAY-1104,,,payu,2024-07-15,26702.41,25939.48,534.05,96.13,0.0,
SETL-PAY-1105,,,payu,2024-04-05,1291.39,1254.5,25.83,4.65,0.0,
SETL-PAY-1106,,,payu,2024-05-21,20645.31,20055.44,412.91,74.32,0.0,
SETL-PAY-1107,,,payu,2024-04-20,19576.41,19017.08,391.53,70.48,0.0,
SETL-PAY-1108,,,payu,2024-03-10,8606.64,8360.74,172.13,30.98,0.0,
SETL-CAS-1109,,,cashfree,2024-05-23,7269.18,7061.49,145.38,26.17,0.0,
SETL-CAS-1110,,,cashfree,2024-02-15,10405.85,10108.54,208.12,37.46,0.0,
